stage,taxon,change,count
SCS,Archaea,Elevation,3
SCS,Archaea,Depletion,1
SCD,Archaea,Elevation,2
SCD,Archaea,Depletion,3
MCI,Archaea,Elevation,5
MCI,Archaea,Depletion,2
AD,Archaea,Elevation,3
AD,Archaea,Depletion,5
SCS,Bacteria,Elevation,11
SCS,Bacteria,Depletion,3
SCD,Bacteria,Elevation,23
SCD,Bacteria,Depletion,2
MCI,Bacteria,Elevation,27
MCI,Bacteria,Depletion,6
AD,Bacteria,Elevation,9
AD,Bacteria,Depletion,9
SCS,Fungi,Elevation,1
SCS,Fungi,Depletion,0
SCD,Fungi,Elevation,4
SCD,Fungi,Depletion,0
MCI,Fungi,Elevation,2
MCI,Fungi,Depletion,0
AD,Fungi,Elevation,0
AD,Fungi,Depletion,1
SCS,Viruses,Elevation,0
SCS,Viruses,Depletion,7
SCD,Viruses,Elevation,11
SCD,Viruses,Depletion,0
MCI,Viruses,Elevation,8
MCI,Viruses,Depletion,5
AD,Viruses,Elevation,0
AD,Viruses,Depletion,4
