stage,taxon,change,count
SCS,Actinobacteria,Elevation,2
SCS,Actinobacteria,Depletion,0
SCD,Actinobacteria,Elevation,2
SCD,Actinobacteria,Depletion,0
MCI,Actinobacteria,Elevation,3
MCI,Actinobacteria,Depletion,0
AD,Actinobacteria,Elevation,5
AD,Actinobacteria,Depletion,0
SCS,Ascomycota,Elevation,1
SCS,Ascomycota,Depletion,0
SCD,Ascomycota,Elevation,4
SCD,Ascomycota,Depletion,0
MCI,Ascomycota,Elevation,2
MCI,Ascomycota,Depletion,0
AD,Ascomycota,Elevation,0
AD,Ascomycota,Depletion,1
SCS,Bacteroidota,Elevation,0
SCS,Bacteroidota,Depletion,0
SCD,Bacteroidota,Elevation,15
SCD,Bacteroidota,Depletion,2
MCI,Bacteroidota,Elevation,0
MCI,Bacteroidota,Depletion,2
AD,Bacteroidota,Elevation,0
AD,Bacteroidota,Depletion,0
SCS,Crenarchaeota,Elevation,0
SCS,Crenarchaeota,Depletion,0
SCD,Crenarchaeota,Elevation,0
SCD,Crenarchaeota,Depletion,0
MCI,Crenarchaeota,Elevation,0
MCI,Crenarchaeota,Depletion,0
AD,Crenarchaeota,Elevation,1
AD,Crenarchaeota,Depletion,0
SCS,Euryarchaeota,Elevation,3
SCS,Euryarchaeota,Depletion,1
SCD,Euryarchaeota,Elevation,2
SCD,Euryarchaeota,Depletion,3
MCI,Euryarchaeota,Elevation,5
MCI,Euryarchaeota,Depletion,2
AD,Euryarchaeota,Elevation,2
AD,Euryarchaeota,Depletion,5
SCS,Firmicutes,Elevation,5
SCS,Firmicutes,Depletion,3
SCD,Firmicutes,Elevation,5
SCD,Firmicutes,Depletion,0
MCI,Firmicutes,Elevation,22
MCI,Firmicutes,Depletion,4
AD,Firmicutes,Elevation,4
AD,Firmicutes,Depletion,8
SCS,Proteobacteria,Elevation,4
SCS,Proteobacteria,Depletion,0
SCD,Proteobacteria,Elevation,1
SCD,Proteobacteria,Depletion,0
MCI,Proteobacteria,Elevation,2
MCI,Proteobacteria,Depletion,0
AD,Proteobacteria,Elevation,0
AD,Proteobacteria,Depletion,1
SCS,Uroviricota,Elevation,0
SCS,Uroviricota,Depletion,7
SCD,Uroviricota,Elevation,11
SCD,Uroviricota,Depletion,0
MCI,Uroviricota,Elevation,8
MCI,Uroviricota,Depletion,5
AD,Uroviricota,Elevation,0
AD,Uroviricota,Depletion,4
