feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
K08314	Group	AD	13.9282419615215	0.157205646489673	25	21	1.98237829739447e-27	4.24149660510521e-23
K08314	Group	MCI	12.3771116575912	0.157205646489673	25	21	2.08891721901067e-26	2.23472364089762e-22
K02100	Group	SCD	11.0553487648133	0.149546349884761	25	21	7.3319998862426e-26	2.61459115943411e-22
K02100	Group	AD	11.3377783321139	0.149546349884761	25	21	4.43461532542224e-26	2.61459115943411e-22
K02100	Group	SCS	11.1839824819627	0.149546349884761	25	21	5.8222061115983e-26	2.61459115943411e-22
K05367	Group	AD	12.2713651528172	0.165684149219383	25	21	7.0627423347977e-26	2.61459115943411e-22
K02100	Group	MCI	10.8724856409376	0.149546349884761	25	21	1.02230818611063e-25	2.61555202620548e-22
K03646	Group	SCD	10.7637592559424	0.148133353547873	25	25	1.03371903302745e-25	2.61555202620548e-22
K14026	Group	MCI	9.52648151828452	0.131516382791251	25	6	1.10020416133153e-25	2.61555202620548e-22
K04762	Group	AD	10.9755968409381	0.154324369835149	25	21	1.58513564294639e-25	2.82629685137342e-22
K08314	Group	SCD	11.2283716517539	0.157205646489673	25	21	1.45581178358201e-25	2.82629685137342e-22
K16053	Group	SCD	11.8773527895089	0.16598907098119	25	21	1.40389185505352e-25	2.82629685137342e-22
K01707	Group	SCS	10.6460046279935	0.15132759958863	25	16	1.96883715262415e-25	2.86720760454544e-22
K03269	Group	AD	11.3221450132253	0.161013239817031	25	21	1.98711031722117e-25	2.86720760454544e-22
K18691	Group	AD	11.162275494108	0.158831401910567	25	21	2.01010067620965e-25	2.86720760454544e-22
K01277	Group	SCD	11.6976914822499	0.171725362289457	25	21	3.74243500784183e-25	3.31956021432685e-22
K01277	Group	AD	11.8983899482015	0.171725362289457	25	21	2.66678963400594e-25	3.31956021432685e-22
K01707	Group	SCD	10.5181805117746	0.15132759958863	25	16	2.50450803731312e-25	3.31956021432685e-22
K03269	Group	SCD	10.9060958651662	0.16101323981703	25	21	4.18901317007033e-25	3.31956021432685e-22
K03839	Group	SCD	11.4119762517746	0.166457605026909	25	21	3.29269582386971e-25	3.31956021432685e-22
K03839	Group	SCS	11.4766054635695	0.166457605026909	25	21	2.94236835760598e-25	3.31956021432685e-22
K04762	Group	SCS	10.5125086425192	0.154324369835149	25	21	3.74138268243768e-25	3.31956021432685e-22
K05367	Group	MCI	11.2312782113864	0.165684149219383	25	21	4.12410671812921e-25	3.31956021432685e-22
K07289	Group	AD	7.47096984514269	0.109669458016465	25	25	3.73804968923997e-25	3.31956021432685e-22
K07666	Group	SCD	9.91598805071571	0.143837684545576	25	11	2.94865048466732e-25	3.31956021432685e-22
K16053	Group	AD	11.3788239733921	0.16598907098119	25	21	3.29864123372661e-25	3.31956021432685e-22
K16053	Group	SCS	11.2795343019946	0.16598907098119	25	21	3.92779333409798e-25	3.31956021432685e-22
K04762	Group	MCI	10.4116038842143	0.154324369835149	25	21	4.53377754055495e-25	3.41381989454859e-22
K05367	Group	SCS	11.1475820597523	0.165684149219383	25	21	4.7866235201186e-25	3.41381989454859e-22
K18691	Group	SCD	10.69050785115	0.158831401910567	25	21	4.7511403159477e-25	3.41381989454859e-22
K03772	Group	AD	12.3621774199392	0.185812014124832	25	22	5.98667486425672e-25	3.67704980955113e-22
K03839	Group	AD	11.1006428417813	0.166457605026909	25	21	5.71225005612784e-25	3.67704980955113e-22
K04762	Group	SCD	10.3206104007194	0.154324369835149	25	21	5.39987943482236e-25	3.67704980955113e-22
K05367	Group	SCD	11.0048688412365	0.165684149219383	25	21	6.18684768853246e-25	3.67704980955113e-22
K16053	Group	MCI	11.0381462903284	0.16598907098119	25	21	6.04308496393516e-25	3.67704980955113e-22
K18691	Group	MCI	10.5931286860462	0.158831401910567	25	21	5.70089572141084e-25	3.67704980955113e-22
K03269	Group	MCI	10.6399055400304	0.16101323981703	25	21	6.85221546538046e-25	3.96243248911569e-22
K01277	Group	SCS	11.3125613791184	0.171725362289457	25	21	7.28965030245834e-25	3.99921430439484e-22
