"MaAsLin2_features_merge","Freq"
"K00002",4
"K00005",4
"K00008",4
"K00009",4
"K00016",4
"K00019",4
"K00020",4
"K00023",4
"K00024",4
"K00029",4
"K00030",4
"K00031",4
"K00043",4
"K00045",4
"K00046",4
"K00053",4
"K00055",4
"K00057",4
"K00058",4
"K00064",4
"K00065",4
"K00067",4
"K00074",4
"K00076",4
"K00086",4
"K00088",4
"K00096",4
"K00097",4
"K00100",4
"K00101",4
"K00112",4
"K00113",4
"K00121",4
"K00124",4
"K00127",4
"K00131",4
"K00134",4
"K00135",4
"K00145",4
"K00148",4
"K00156",4
"K00164",4
"K00174",4
"K00175",4
"K00176",4
"K00177",4
"K00184",4
"K00194",4
"K00196",4
"K00198",4
"K00208",4
"K00210",4
"K00215",4
"K00226",4
"K00240",4
"K00241",4
"K00243",4
"K00248",4
"K00254",4
"K00259",4
"K00261",4
"K00262",4
"K00266",4
"K00274",4
"K00275",4
"K00278",4
"K00281",4
"K00290",4
"K00302",4
"K00303",4
"K00322",4
"K00329",4
"K00330",4
"K00331",4
"K00333",4
"K00334",4
"K00335",4
"K00336",4
"K00337",4
"K00338",4
"K00339",4
"K00340",4
"K00341",4
"K00342",4
"K00343",4
"K00346",4
"K00347",4
"K00348",4
"K00349",4
"K00350",4
"K00351",4
"K00356",4
"K00366",4
"K00375",4
"K00381",4
"K00382",4
"K00392",4
"K00425",4
"K00426",4
"K00428",4
"K00459",4
"K00491",4
"K00525",4
"K00526",4
"K00532",4
"K00533",4
"K00549",4
"K00556",4
"K00558",4
"K00567",4
"K00568",4
"K00571",4
"K00574",4
"K00575",4
"K00588",4
"K00600",4
"K00602",4
"K00603",4
"K00606",4
"K00611",4
"K00620",4
"K00626",4
"K00638",4
"K00639",4
"K00641",4
"K00647",4
"K00652",4
"K00658",4
"K00674",4
"K00677",4
"K00683",4
"K00688",4
"K00691",4
"K00694",4
"K00700",4
"K00705",4
"K00748",4
"K00752",4
"K00756",4
"K00757",4
"K00758",4
"K00760",4
"K00764",4
"K00765",4
"K00767",4
"K00772",4
"K00782",4
"K00789",4
"K00790",4
"K00793",4
"K00794",4
"K00795",4
"K00796",4
"K00798",4
"K00801",4
"K00805",4
"K00806",4
"K00812",4
"K00819",4
"K00821",4
"K00824",4
