"feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero"
"map00140","Group","AD",3.14062468013391,0.0680759310440033,5.38483725290593e-11,"GroupAD",1.23554091154033e-08,10,10
"map00524","Group","AD",1.06784952418591,0.0245827661404854,8.70099233479105e-11,"GroupAD",1.23554091154033e-08,10,10
"map04071","Group","AD",1.09651297245561,0.0349819371782066,1.16729093727029e-09,"GroupAD",1.10503542061587e-07,10,5
"map02024","Group","AD",-0.508781226802575,0.0229556300902971,1.8147750931764e-08,"GroupAD",1.28849031615524e-06,10,10
"map04211","Group","AD",1.66463209571209,0.0806458105247241,3.17861268792001e-08,"GroupAD",1.80545200673857e-06,10,10
"map00364","Group","AD",-4.56218777132877,0.233656830798882,4.92023573964245e-08,"GroupAD",2.32891158343076e-06,10,10
"map04013","Group","AD",1.77732745436351,0.0960864553240875,7.52026290663318e-08,"GroupAD",3.05107809354832e-06,10,10
"map05100","Group","AD",-1.59439940265366,0.0893339880259672,9.94914616023779e-08,"GroupAD",3.53194688688442e-06,10,10
"map00361","Group","AD",-1.16477139580666,0.0706374128821913,1.84596182741431e-07,"GroupAD",4.02240668079228e-06,10,10
"map00513","Group","AD",1.90926798447909,0.114294902903489,1.66838116081353e-07,"GroupAD",4.02240668079228e-06,10,10
"map00604","Group","AD",1.93341878438296,0.119386371544789,2.12451057084099e-07,"GroupAD",4.02240668079228e-06,10,10
"map00906","Group","AD",-3.7339528796166,0.229979287158048,2.08268379021076e-07,"GroupAD",4.02240668079228e-06,10,10
"map04011","Group","AD",1.58790825411008,0.0923855232715046,1.33555445865901e-07,"GroupAD",4.02240668079228e-06,10,10
"map04212","Group","AD",0.30660815556676,0.0184748683994586,1.75559113918633e-07,"GroupAD",4.02240668079228e-06,10,10
"map05230","Group","AD",0.372623049868309,0.022778799187486,1.96444336278583e-07,"GroupAD",4.02240668079228e-06,10,10
"map04122","Group","AD",-0.46810307095536,0.0293537402336992,2.39527426443391e-07,"GroupAD",4.25161181937019e-06,10,10
"map00603","Group","AD",0.798276739968762,0.0531854889832791,3.83496822222007e-07,"GroupAD",6.40665279476765e-06,10,10
"map00540","Group","AD",0.720886949598162,0.049875784154755,5.1360152812039e-07,"GroupAD",7.29314169930953e-06,10,10
"map00601","Group","AD",-1.22203624698199,0.0843777334990304,5.05625445493921e-07,"GroupAD",7.29314169930953e-06,10,5
"map04614","Group","AD",5.02899111065636,0.344553685751092,4.76180700502466e-07,"GroupAD",7.29314169930953e-06,10,10
"map00625","Group","AD",-0.849782166255597,0.0605099355279393,6.41481381704922e-07,"GroupAD",7.92090053931295e-06,10,10
"map00670","Group","AD",0.301151264327098,0.0212032527001281,5.87943420914405e-07,"GroupAD",7.92090053931295e-06,10,10
"map05020","Group","AD",-1.54914651333481,0.109948949269858,6.25486369372232e-07,"GroupAD",7.92090053931295e-06,10,10
"map04320","Group","AD",-3.39588832080042,0.243392063213246,6.7461283368656e-07,"GroupAD",7.98291853195762e-06,10,10
"map04940","Group","AD",0.505865210560972,0.0374557887579155,8.66874880636197e-07,"GroupAD",9.8476986440272e-06,10,10
"map00450","Group","AD",-0.328654710135648,0.024611619441391,9.45761049960237e-07,"GroupAD",1.0202482362059e-05,10,10
"map00626","Group","AD",-0.923944140538002,0.06941808351375,9.69954309068993e-07,"GroupAD",1.0202482362059e-05,10,10
"map02026","Group","AD",-0.300282755618975,0.0227005636613292,1.01706084522442e-06,"GroupAD",1.03159028587048e-05,10,10
"map00909","Group","AD",-1.37021217928889,0.104615039351583,1.09743751785107e-06,"GroupAD",1.03890751689901e-05,10,5
"map04921","Group","AD",-1.28558130896021,0.0978193354310328,1.06906632242238e-06,"GroupAD",1.03890751689901e-05,10,5
"map00400","Group","AD",-0.263854225429658,0.0204402274763272,1.22700628021086e-06,"GroupAD",1.05745319987805e-05,10,10
"map00523","Group","AD",0.514336148796603,0.0395632468719055,1.16209393588992e-06,"GroupAD",1.05745319987805e-05,10,10
"map04142","Group","AD",1.38858376355615,0.107590340602949,1.22873083084422e-06,"GroupAD",1.05745319987805e-05,10,10
"map00130","Group","AD",0.813162811220031,0.0632627419428785,1.26772383169012e-06,"GroupAD",1.05892225941175e-05,10,10
"map04974","Group","AD",10.3429410315888,0.80942565742238,1.32637524125729e-06,"GroupAD",1.07625876719163e-05,10,9
"map01503","Group","AD",0.876060930352445,0.0688895862105152,1.37610559598566e-06,"GroupAD",1.08559441461091e-05,10,10
"map00521","Group","AD",0.636423956782626,0.0502631985546143,1.4226032090164e-06,"GroupAD",1.09194408475853e-05,10,10
"map00100","Group","AD",-1.46019683112938,0.120236447602813,1.95701206167162e-06,"GroupAD",1.42332550274538e-05,10,5
"map00564","Group","AD",0.30511447768063,0.0252850635226245,2.05480090185072e-06,"GroupAD",1.42332550274538e-05,10,10
"map01062","Group","AD",-5.83153252983641,0.483006868177044,2.04649751674692e-06,"GroupAD",1.42332550274538e-05,10,10
"map03060","Group","AD",0.432059504377052,0.035533828122262,1.93900091798772e-06,"GroupAD",1.42332550274538e-05,10,10
"map00515","Group","AD",-3.15962688432968,0.262901523200442,2.11912557618866e-06,"GroupAD",1.43293253247043e-05,10,10
"map05014","Group","AD",0.577686071489525,0.0482555198178171,2.18320542637126e-06,"GroupAD",1.44193102578939e-05,10,10
"map00053","Group","AD",-0.825221106217305,0.0692523685851555,2.26151424264629e-06,"GroupAD",1.45970464752624e-05,10,10
"map00531","Group","AD",1.11537185557704,0.0958592354120056,2.71100172586593e-06,"GroupAD",1.69355587646279e-05,10,10
"map00623","Group","AD",-1.80850488067672,0.155670553356729,2.74308346187636e-06,"GroupAD",1.69355587646279e-05,10,10
"map05110","Group","AD",-4.16354880638149,0.372720396994713,3.69293084755835e-06,"GroupAD",2.23147310788632e-05,10,10
"map00941","Group","AD",7.5278892924583,0.678770997996115,3.89984136413897e-06,"GroupAD",2.23745154244329e-05,10,10
"map00945","Group","AD",7.5278892924583,0.678770997996115,3.89984136413897e-06,"GroupAD",2.23745154244329e-05,10,10
"map04925","Group","AD",-1.34711688152407,0.121627530847506,3.93917525078044e-06,"GroupAD",2.23745154244329e-05,10,5
"map04330","Group","AD",-3.37585303908205,0.307716655568403,4.23339208742936e-06,"GroupAD",2.3120833708268e-05,10,10
"map05226","Group","AD",4.75543806575239,0.433102455068073,4.20643854606273e-06,"GroupAD",2.3120833708268e-05,10,9
"map04214","Group","AD",0.943558797870588,0.086799437986031,4.53658048636081e-06,"GroupAD",2.43092237382353e-05,10,10
"map02025","Group","AD",-0.712925711425289,0.0664715053795171,5.0207710113918e-06,"GroupAD",2.64055364302828e-05,10,10
"map00622","Group","AD",-1.21881342993189,0.115429843678976,5.64752566824569e-06,"GroupAD",2.91617689051232e-05,10,10
"map04310","Group","AD",-3.45812352957625,0.330779497211585,6.08545220583146e-06,"GroupAD",3.03204987097568e-05,10,10
"map05220","Group","AD",-3.45923973602891,0.330607219750553,6.04702270257468e-06,"GroupAD",3.03204987097568e-05,10,10
"map00621","Group","AD",-1.52463768374029,0.148915693473291,7.11784647248036e-06,"GroupAD",3.48529034169728e-05,10,10
"map00040","Group","AD",-0.480688374498208,0.0470958321359674,7.2848294129962e-06,"GroupAD",3.50659585303546e-05,10,10
"map00362","Group","AD",-0.620687416912013,0.06241360270025,8.84654091847615e-06,"GroupAD",4.18736270141204e-05,10,10
"map04917","Group","AD",-0.726355580853443,0.0735247406360478,9.29468069314992e-06,"GroupAD",4.32735953582717e-05,10,10
"map04145","Group","AD",-4.24015239444801,0.430587007723159,9.51989120283618e-06,"GroupAD",4.36072435742818e-05,10,10
"map03008","Group","AD",0.613175753757075,0.0629963392627685,1.03808698838633e-05,"GroupAD",4.67963023336058e-05,10,10
"map00350","Group","AD",-0.488598044356161,0.050792070654996,1.13303217017464e-05,"GroupAD",5.02783025514998e-05,10,10
"map00072","Group","AD",-1.17495051461505,0.124056077659787,1.27158463147833e-05,"GroupAD",5.37192501741479e-05,10,10
"map00360","Group","AD",-0.450870901872422,0.0476959598231713,1.2897369906325e-05,"GroupAD",5.37192501741479e-05,10,10
"map00460","Group","AD",0.423402045809012,0.0448620325473697,1.30515079648458e-05,"GroupAD",5.37192501741479e-05,10,10
"map00511","Group","AD",1.20243330105752,0.127061990372921,1.27933513841721e-05,"GroupAD",5.37192501741479e-05,10,10
"map04216","Group","AD",0.91846122836057,0.0971318549265122,1.28691257423672e-05,"GroupAD",5.37192501741479e-05,10,10
"map04213","Group","AD",0.628252937253713,0.0677498450750879,1.48670282351742e-05,"GroupAD",6.03176574112782e-05,10,10
"map03022","Group","AD",-0.804572386064304,0.0877117754281008,1.61083434342029e-05,"GroupAD",6.44333737368118e-05,10,10
"map00020","Group","AD",0.136731988289931,0.0149833801640861,1.67344943516033e-05,"GroupAD",6.53158936581547e-05,10,10
"map03320","Group","AD",0.409827652980496,0.0449295855511448,1.67889444966384e-05,"GroupAD",6.53158936581547e-05,10,10
"map00940","Group","AD",0.700393517913932,0.0783282197473853,1.94363357246054e-05,"GroupAD",7.459350467281e-05,10,10
"map00310","Group","AD",-0.511207766746749,0.0574090358185365,2.00390997294583e-05,"GroupAD",7.58813909755488e-05,10,10
"map04210","Group","AD",6.12693768838248,0.689374784970605,2.03218031067927e-05,"GroupAD",7.59393695043305e-05,10,10
"map01523","Group","AD",0.270477990088537,0.0305588182832677,2.09464470534837e-05,"GroupAD",7.72570254959659e-05,10,10
"map00405","Group","AD",-0.962042099720304,0.110361973900247,2.34201941681519e-05,"GroupAD",8.52735274840402e-05,10,10
"map00590","Group","AD",-2.82060109418955,0.327423034164872,2.55362563750071e-05,"GroupAD",9.18012254493926e-05,10,10
"map01220","Group","AD",-0.417083383522894,0.0488393050178809,2.72092235908712e-05,"GroupAD",9.65927437475926e-05,10,10
"map00785","Group","AD",0.508472541575182,0.0611256080429126,3.29350849452326e-05,"GroupAD",0.000115309962450838,10,10
"map05111","Group","AD",-0.356742903317104,0.0429496534763638,3.32937215527068e-05,"GroupAD",0.000115309962450838,10,10
"map00525","Group","AD",0.794311777025858,0.0958102068760891,3.37505600136276e-05,"GroupAD",0.000115483843902051,10,10
"map05340","Group","AD",0.692035297846923,0.0841240962382534,3.57025173449715e-05,"GroupAD",0.000120708511023475,10,10
"map04920","Group","AD",0.781474573037081,0.0962969629217813,3.93898639430444e-05,"GroupAD",0.000131608486586172,10,10
"map00410","Group","AD",0.264243881422444,0.032965679237167,4.30551399916104e-05,"GroupAD",0.000142182090204853,10,10
"map05204","Group","AD",-1.39442247006478,0.176140640095264,4.70892334164562e-05,"GroupAD",0.000153716578049121,10,10
"map00051","Group","AD",-0.406605566028868,0.0518485512836992,5.03884897039172e-05,"GroupAD",0.000160790236808005,10,10
"map05010","Group","AD",0.239077781408621,0.0304382327818692,4.98233748709934e-05,"GroupAD",0.000160790236808005,10,10
"map04146","Group","AD",0.572080379164512,0.0732676252131177,5.19862142565922e-05,"GroupAD",0.000164045387209691,10,10
"map00250","Group","AD",0.234353622026407,0.03066382386862,6.05832143398689e-05,"GroupAD",0.000187337431345617,10,10
"map00760","Group","AD",0.230323677289851,0.0301437479108292,6.06867735344958e-05,"GroupAD",0.000187337431345617,10,10
"map04626","Group","AD",0.151126181778289,0.0199011278766673,6.34141168998247e-05,"GroupAD",0.000193651711823121,10,10
"map00340","Group","AD",0.480288637793687,0.0633480343310467,6.41385018917754e-05,"GroupAD",0.000193780154651747,10,10
"map01055","Group","AD",0.821774513313469,0.109780812539492,7.02296674866558e-05,"GroupAD",0.000209926815053364,10,10
"map02060","Group","AD",-0.900282542925425,0.120444417540921,7.09611769194471e-05,"GroupAD",0.000209926815053364,10,10
"map00720","Group","AD",0.149502775753427,0.020124126532437,7.41110710003626e-05,"GroupAD",0.000216930715529587,10,10
"map05133","Group","AD",0.73322763072155,0.0988370901055083,7.48563736686602e-05,"GroupAD",0.000216930715529587,10,10
"map00561","Group","AD",-0.306297665795865,0.0420696439144878,8.54669682863876e-05,"GroupAD",0.000245177969629637,10,10
"map05016","Group","AD",0.479127858032533,0.0660074789125942,8.73135419088625e-05,"GroupAD",0.00024797045902117,10,10
"map01051","Group","AD",-0.516259284129427,0.0722123943888901,9.71703525600194e-05,"GroupAD",0.000273231486406391,10,10
"map00472","Group","AD",-0.978030393359775,0.137340055860995,9.98790652639376e-05,"GroupAD",0.000278094652303512,10,10
"map04622","Group","AD",3.13259377268495,0.451129944431248,0.000119147725030635,"GroupAD",0.000328523824356314,10,10
"map04068","Group","AD",1.00541450921003,0.144993061649924,0.000120309521999556,"GroupAD",0.000328537540844942,10,10
"map00791","Group","AD",-1.01739985254072,0.147074100520646,0.000122338735285745,"GroupAD",0.000330897150677634,10,10
"map00750","Group","AD",0.0818365574551967,0.0119520297880761,0.000131377341838534,"GroupAD",0.00035199212341645,10,10
"map04910","Group","AD",-0.428595402251261,0.0636056358173009,0.000146801929957137,"GroupAD",0.000389642505680626,10,10
"map00860","Group","AD",-0.448360886915742,0.0666889320519397,0.000149106182559507,"GroupAD",0.000392094035619445,10,10
"map00062","Group","AD",1.69072201549768,0.25356018109377,0.000157848601332525,"GroupAD",0.000396898366300277,10,5
"map00830","Group","AD",-0.945398018798019,0.142509459757978,0.000163510946680044,"GroupAD",0.000396898366300277,10,10
"map00910","Group","AD",-0.128560643647793,0.0193719574773522,0.000163087289667586,"GroupAD",0.000396898366300277,10,10
"map00982","Group","AD",-0.959944295422291,0.143519720847258,0.000154514605234815,"GroupAD",0.000396898366300277,10,10
"map03410","Group","AD",0.0911104857275927,0.0136755588451045,0.000158773637136879,"GroupAD",0.000396898366300277,10,10
"map04080","Group","AD",0.980651408905942,0.147739894879866,0.000162874379828633,"GroupAD",0.000396898366300277,10,10
"map04964","Group","AD",-0.416340969859855,0.0627500716136598,0.000163345205560758,"GroupAD",0.000396898366300277,10,10
"map05166","Group","AD",0.979744920859855,0.147648535442479,0.000163218400001079,"GroupAD",0.000396898366300277,10,10
"map05205","Group","AD",0.511427994934448,0.0764836672251869,0.000154806360738611,"GroupAD",0.000396898366300277,10,10
"map04979","Group","AD",0.979335452598003,0.148014148187145,0.000166500967743136,"GroupAD",0.000400731142703819,10,10
"map00052","Group","AD",0.188053824862188,0.0286782058875547,0.000177100228206583,"GroupAD",0.00042111118671424,10,10
"map04973","Group","AD",0.631520004968929,0.0963727144652083,0.000177934304245453,"GroupAD",0.00042111118671424,10,10
"map03420","Group","AD",0.147014306640226,0.0227387138039303,0.000195108593677698,"GroupAD",0.00045794083144187,10,10
"map05418","Group","AD",0.262638540306083,0.0412480071704742,0.000216561618017445,"GroupAD",0.000504127045220937,10,10
"map04714","Group","AD",1.02524110780222,0.167688629504544,0.000285056501238575,"GroupAD",0.000658179238632157,10,10
"map00600","Group","AD",0.443210502479597,0.0732032133656637,0.00030438571891899,"GroupAD",0.000697141485266074,10,10
"map00562","Group","AD",-0.246136249882893,0.0408258920697117,0.000313151580930292,"GroupAD",0.000711480391873623,10,10
"map00640","Group","AD",-0.21406934624498,0.0355515323459013,0.000315787652751259,"GroupAD",0.000711775344296488,10,10
"map00061","Group","AD",0.343008311056927,0.0581280587754736,0.000361375583557849,"GroupAD",0.000808115478192355,10,10
"map01040","Group","AD",-0.375712808853852,0.0642791924219635,0.0003849475207614,"GroupAD",0.000854102311689356,10,10
"map00740","Group","AD",0.345455514376036,0.060793590115504,0.000463686448435386,"GroupAD",0.00102082908027635,10,10
"map00643","Group","AD",-0.9354977321845,0.166860045896657,0.000506405074413372,"GroupAD",0.00110630031641075,10,10
"map03440","Group","AD",0.211442407095231,0.0379637442754895,0.000528700328229268,"GroupAD",0.00114619002455811,10,10
"map01100","Group","AD",0.0325204903231904,0.00599075115462502,0.000624489390926531,"GroupAD",0.0013435983865389,10,10
"map02030","Group","AD",-0.828326715234828,0.153854855277292,0.000658622938211005,"GroupAD",0.00140638281542801,10,10
"map03010","Group","AD",0.267176679012261,0.0497394602349193,0.000668382303895778,"GroupAD",0.00141657145004777,10,10
"map04070","Group","AD",0.464795993590346,0.0880476563110218,0.000747188043112591,"GroupAD",0.00157186225365908,10,10
"map04727","Group","AD",0.328669024367735,0.0634479795368429,0.000842616409861298,"GroupAD",0.00175958132647506,10,10
"map00980","Group","AD",-0.612068030038758,0.118699755637452,0.000867440399754924,"GroupAD",0.00179819761701021,10,10
"map00430","Group","AD",0.340658419171626,0.0665068642023869,0.000904785392699348,"GroupAD",0.0018620221125117,10,10
"map01120","Group","AD",-0.115313762620962,0.0227478936226531,0.00096595853028417,"GroupAD",0.00197361311223528,10,10
