"feature","coef.AD","qval.AD"
"map00140",3.14062468013391,1.23554091154033e-08
"map00524",1.06784952418591,1.23554091154033e-08
"map04071",1.09651297245561,1.10503542061587e-07
"map02024",-0.508781226802575,1.28849031615524e-06
"map04211",1.66463209571209,1.80545200673857e-06
"map00364",-4.56218777132877,2.32891158343076e-06
"map04013",1.77732745436351,3.05107809354832e-06
"map05100",-1.59439940265366,3.53194688688442e-06
"map00361",-1.16477139580666,4.02240668079228e-06
"map00513",1.90926798447909,4.02240668079228e-06
"map00604",1.93341878438296,4.02240668079228e-06
"map00906",-3.7339528796166,4.02240668079228e-06
"map04011",1.58790825411008,4.02240668079228e-06
"map04212",0.30660815556676,4.02240668079228e-06
"map05230",0.372623049868309,4.02240668079228e-06
"map04122",-0.46810307095536,4.25161181937019e-06
"map00603",0.798276739968762,6.40665279476765e-06
"map00540",0.720886949598162,7.29314169930953e-06
"map00601",-1.22203624698199,7.29314169930953e-06
"map04614",5.02899111065636,7.29314169930953e-06
"map00625",-0.849782166255597,7.92090053931295e-06
"map00670",0.301151264327098,7.92090053931295e-06
"map05020",-1.54914651333481,7.92090053931295e-06
"map04320",-3.39588832080042,7.98291853195762e-06
"map04940",0.505865210560972,9.8476986440272e-06
"map00450",-0.328654710135648,1.0202482362059e-05
"map00626",-0.923944140538002,1.0202482362059e-05
"map02026",-0.300282755618975,1.03159028587048e-05
"map00909",-1.37021217928889,1.03890751689901e-05
"map04921",-1.28558130896021,1.03890751689901e-05
"map00400",-0.263854225429658,1.05745319987805e-05
"map00523",0.514336148796603,1.05745319987805e-05
"map04142",1.38858376355615,1.05745319987805e-05
"map00130",0.813162811220031,1.05892225941175e-05
"map04974",10.3429410315888,1.07625876719163e-05
"map01503",0.876060930352445,1.08559441461091e-05
"map00521",0.636423956782626,1.09194408475853e-05
"map00100",-1.46019683112938,1.42332550274538e-05
"map00564",0.30511447768063,1.42332550274538e-05
"map01062",-5.83153252983641,1.42332550274538e-05
"map03060",0.432059504377052,1.42332550274538e-05
"map00515",-3.15962688432968,1.43293253247043e-05
"map05014",0.577686071489525,1.44193102578939e-05
"map00053",-0.825221106217305,1.45970464752624e-05
"map00531",1.11537185557704,1.69355587646279e-05
"map00623",-1.80850488067672,1.69355587646279e-05
"map05110",-4.16354880638149,2.23147310788632e-05
"map00941",7.5278892924583,2.23745154244329e-05
"map00945",7.5278892924583,2.23745154244329e-05
"map04925",-1.34711688152407,2.23745154244329e-05
"map04330",-3.37585303908205,2.3120833708268e-05
"map05226",4.75543806575239,2.3120833708268e-05
"map04214",0.943558797870588,2.43092237382353e-05
"map02025",-0.712925711425289,2.64055364302828e-05
"map00622",-1.21881342993189,2.91617689051232e-05
"map04310",-3.45812352957625,3.03204987097568e-05
"map05220",-3.45923973602891,3.03204987097568e-05
"map00621",-1.52463768374029,3.48529034169728e-05
"map00040",-0.480688374498208,3.50659585303546e-05
"map00362",-0.620687416912013,4.18736270141204e-05
"map04917",-0.726355580853443,4.32735953582717e-05
"map04145",-4.24015239444801,4.36072435742818e-05
"map03008",0.613175753757075,4.67963023336058e-05
"map00350",-0.488598044356161,5.02783025514998e-05
"map00072",-1.17495051461505,5.37192501741479e-05
"map00360",-0.450870901872422,5.37192501741479e-05
"map00460",0.423402045809012,5.37192501741479e-05
"map00511",1.20243330105752,5.37192501741479e-05
"map04216",0.91846122836057,5.37192501741479e-05
"map04213",0.628252937253713,6.03176574112782e-05
"map03022",-0.804572386064304,6.44333737368118e-05
"map00020",0.136731988289931,6.53158936581547e-05
"map03320",0.409827652980496,6.53158936581547e-05
"map00940",0.700393517913932,7.459350467281e-05
"map00310",-0.511207766746749,7.58813909755488e-05
"map04210",6.12693768838248,7.59393695043305e-05
"map01523",0.270477990088537,7.72570254959659e-05
"map00405",-0.962042099720304,8.52735274840402e-05
"map00590",-2.82060109418955,9.18012254493926e-05
"map01220",-0.417083383522894,9.65927437475926e-05
"map00785",0.508472541575182,0.000115309962450838
"map05111",-0.356742903317104,0.000115309962450838
"map00525",0.794311777025858,0.000115483843902051
"map05340",0.692035297846923,0.000120708511023475
"map04920",0.781474573037081,0.000131608486586172
"map00410",0.264243881422444,0.000142182090204853
"map05204",-1.39442247006478,0.000153716578049121
"map00051",-0.406605566028868,0.000160790236808005
"map05010",0.239077781408621,0.000160790236808005
"map04146",0.572080379164512,0.000164045387209691
"map00250",0.234353622026407,0.000187337431345617
"map00760",0.230323677289851,0.000187337431345617
"map04626",0.151126181778289,0.000193651711823121
"map00340",0.480288637793687,0.000193780154651747
"map01055",0.821774513313469,0.000209926815053364
"map02060",-0.900282542925425,0.000209926815053364
"map00720",0.149502775753427,0.000216930715529587
"map05133",0.73322763072155,0.000216930715529587
"map00561",-0.306297665795865,0.000245177969629637
"map05016",0.479127858032533,0.00024797045902117
"map01051",-0.516259284129427,0.000273231486406391
"map00472",-0.978030393359775,0.000278094652303512
"map04622",3.13259377268495,0.000328523824356314
"map04068",1.00541450921003,0.000328537540844942
"map00791",-1.01739985254072,0.000330897150677634
"map00750",0.0818365574551967,0.00035199212341645
"map04910",-0.428595402251261,0.000389642505680626
"map00860",-0.448360886915742,0.000392094035619445
"map00062",1.69072201549768,0.000396898366300277
"map00830",-0.945398018798019,0.000396898366300277
"map00910",-0.128560643647793,0.000396898366300277
"map00982",-0.959944295422291,0.000396898366300277
"map03410",0.0911104857275927,0.000396898366300277
"map04080",0.980651408905942,0.000396898366300277
"map04964",-0.416340969859855,0.000396898366300277
"map05166",0.979744920859855,0.000396898366300277
"map05205",0.511427994934448,0.000396898366300277
"map04979",0.979335452598003,0.000400731142703819
"map00052",0.188053824862188,0.00042111118671424
"map04973",0.631520004968929,0.00042111118671424
"map03420",0.147014306640226,0.00045794083144187
"map05418",0.262638540306083,0.000504127045220937
"map04714",1.02524110780222,0.000658179238632157
"map00600",0.443210502479597,0.000697141485266074
"map00562",-0.246136249882893,0.000711480391873623
"map00640",-0.21406934624498,0.000711775344296488
"map00061",0.343008311056927,0.000808115478192355
"map01040",-0.375712808853852,0.000854102311689356
"map00740",0.345455514376036,0.00102082908027635
"map00643",-0.9354977321845,0.00110630031641075
"map03440",0.211442407095231,0.00114619002455811
"map01100",0.0325204903231904,0.0013435983865389
"map02030",-0.828326715234828,0.00140638281542801
"map03010",0.267176679012261,0.00141657145004777
"map04070",0.464795993590346,0.00157186225365908
"map04727",0.328669024367735,0.00175958132647506
"map00980",-0.612068030038758,0.00179819761701021
"map00430",0.340658419171626,0.0018620221125117
"map01120",-0.115313762620962,0.00197361311223528
"map00281",-1.09105786189276,0.00206141754531784
"map00930",0.576041341175297,0.00208777869185531
"map00473",-0.15289106968969,0.00265693628852529
