"feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero"
"k__Archaea.p__Euryarchaeota.c__Methanococci.o__Methanococcales.f__Methanococcaceae.g__Methanococcus.s__Methanococcus_vannielii","Group","MCI",1.16367918469135,0.0310651526155572,5.32637493875896e-20,"GroupMCI",1.57660698187265e-17,25,5
"k__Archaea.p__Crenarchaeota.c__Thermoprotei.o__Sulfolobales.f__Sulfolobaceae.g__Saccharolobus.s__Saccharolobus_caldissimus","Group","MCI",1.21837580045275,0.0536842380429517,9.54278941921087e-16,"GroupMCI",1.41233283404321e-13,25,5
"k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae.g__Methanothermobacter.s__Methanothermobacter_thermautotrophicus","Group","MCI",1.38984589379585,0.0875149776548309,8.3602250370826e-13,"GroupMCI",8.2487553699215e-11,25,5
"k__Archaea.p__Crenarchaeota.c__Thermoprotei.o__Thermoproteales.f__Thermoproteaceae.g__Pyrobaculum.s__Pyrobaculum_neutrophilum","Group","SCS",2.4896878542933,0.16386923724051,1.9003217022261e-12,"GroupSCS",1.12499044771785e-10,25,6
"k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Haloferacales.f__Halorubraceae.g__Halorubrum.s__Halorubrum_lacusprofundi","Group","MCI",2.14952413973733,0.14119163584477,1.83001974606506e-12,"GroupMCI",1.12499044771785e-10,25,6
"k__Archaea.p__Crenarchaeota.c__Thermoprotei.o__Sulfolobales.f__Sulfolobaceae.g__Sulfolobus.s__Sulfolobus_sp._E5.1.F","Group","MCI",2.87055209729347,0.19551240412367,3.56948978995807e-12,"GroupMCI",1.76094829637932e-10,25,6
"k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae.g__Methanobrevibacter.s__Methanobrevibacter_millerae","Group","MCI",3.02919484385291,0.217190844710038,9.13689860142956e-12,"GroupMCI",3.86360283717593e-10,25,8
"k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae.g__Methanobrevibacter.s__Methanobrevibacter_sp._YE315","Group","AD",1.73621539953938,0.133788791667779,3.36753265520511e-11,"GroupAD",1.24598708242589e-09,25,5
"k__Archaea.p__Euryarchaeota.c__Methanomicrobia.o__Methanosarcinales.f__Methanosarcinaceae.g__Methanosarcina.s__Methanosarcina_mazei","Group","SCD",6.75968666019002,0.536751161819098,5.76474130232315e-11,"GroupSCD",1.89595936165295e-09,25,9
"k__Archaea.p__Euryarchaeota.c__Methanomicrobia.o__Methanomicrobiales.f__Methanocorpusculaceae.g__Methanocorpusculum.s__Methanocorpusculum_labreanum","Group","SCD",-2.47099215336655,0.200097576345343,8.17914576378838e-11,"GroupSCD",2.20093376916487e-09,25,14
"k__Archaea.p__Euryarchaeota.c__Methanomicrobia.o__Methanomicrobiales.f__Methanocorpusculaceae.g__Methanocorpusculum.s__Methanocorpusculum_labreanum","Group","AD",-2.47099215336655,0.200097576345343,8.17914576378838e-11,"GroupAD",2.20093376916487e-09,25,14
"k__Archaea.p__Euryarchaeota.c__Methanomicrobia.o__Methanotrichales.f__Methanotrichaceae.g__Methanothrix.s__Methanothrix_soehngenii","Group","SCS",2.86804484843071,0.254564234786722,4.10954352409979e-10,"GroupSCS",1.01368740261128e-08,25,6
"k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Halobacteriales.f__Halobacteriaceae.g__Haladaptatus.s__Haladaptatus_sp._ZJ1","Group","SCS",3.0474801122553,0.286250951667532,1.09274823797373e-09,"GroupSCS",2.48810368030942e-08,25,6
"k__Archaea.p__Euryarchaeota.c__Methanomicrobia.o__Methanomicrobiales.f__Methanocorpusculaceae.g__Methanocorpusculum.s__Methanocorpusculum_labreanum","Group","MCI",2.08003065170787,0.200097576345343,1.64258923221929e-09,"GroupMCI",3.31236260984913e-08,25,14
"k__Archaea.p__Thaumarchaeota.o__Nitrosopumilales.f__Nitrosopumilaceae.g__Nitrosopumilus.s__Nitrosopumilus_adriaticus","Group","SCS",2.96226609173775,0.285331139661131,1.67856213336949e-09,"GroupSCS",3.31236260984913e-08,25,6
"k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Halobacteriales.f__Haloarculaceae.g__Halorientalis.s__Halorientalis_litorea","Group","MCI",1.35935946588869,0.137407533346237,3.79059104975584e-09,"GroupMCI",7.01259344204831e-08,25,5
"k__Archaea.p__Candidatus_Thermoplasmatota.c__Thermoplasmata.o__Methanomassiliicoccales.f__Candidatus_Methanomethylophilaceae.g__Candidatus_Methanomethylophilus.s__Candidatus_Methanomethylophilus_alvus","Group","AD",-2.97271129619122,0.326113634918083,1.466136409535e-08,"GroupAD",2.55280221895506e-07,25,16
"k__Archaea.p__Euryarchaeota.c__Thermococci.o__Thermococcales.f__Thermococcaceae.g__Pyrococcus.s__Pyrococcus_yayanosii","Group","AD",2.73676277985728,0.305025088491023,1.89661237779183e-08,"GroupAD",3.11887368792434e-07,25,5
"k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Haloferacales.f__Haloferacaceae.g__Haloprofundus.s__Haloprofundus_halobius","Group","AD",-5.40251604600029,0.607718612057814,2.20184013465306e-08,"GroupAD",3.43023515714371e-07,25,14
"k__Archaea.p__Candidatus_Thermoplasmatota.c__Thermoplasmata.o__Methanomassiliicoccales.f__Candidatus_Methanomethylophilaceae.g__Candidatus_Methanomethylophilus.s__Candidatus_Methanomethylophilus_alvus","Group","SCD",-2.49295752884509,0.326113634918083,2.33583416825744e-07,"GroupSCD",3.45703456902101e-06,25,16
"k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Haloferacales.f__Haloferacaceae.g__Haloprofundus.s__Haloprofundus_halobius","Group","SCD",-4.61120540852601,0.607718612057814,2.61380029492211e-07,"GroupSCD",3.68421374903306e-06,25,14
"k__Archaea.p__Thaumarchaeota.c__Nitrososphaeria.o__Nitrososphaerales.f__Nitrososphaeraceae.g__Nitrososphaera.s__Nitrososphaera_viennensis","Group","SCD",-3.21857419059132,0.426546858226256,2.84199999988871e-07,"GroupSCD",3.82378181803209e-06,25,19
"k__Archaea.p__Euryarchaeota.c__Methanomicrobia.o__Methanomicrobiales.f__Methanocorpusculaceae.g__Methanocorpusculum.s__Methanocorpusculum_labreanum","Group","SCS",-1.49973189362953,0.200097576345343,3.14424829320093e-07,"GroupSCS",4.04651084690206e-06,25,14
"k__Archaea.p__Euryarchaeota.c__Methanomicrobia.o__Methanosarcinales.f__Methanosarcinaceae.g__Methanosarcina.s__Methanosarcina_sp._WH1","Group","MCI",-1.94439021662794,0.263286463212544,3.92009932815448e-07,"GroupMCI",4.46288231205282e-06,25,8
