feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Archaea.p__Euryarchaeota.c__Methanococci.o__Methanococcales.f__Methanococcaceae.g__Methanococcus.s__Methanococcus_vannielii	Group	MCI	1.16367918469135	0.0310651526155572	25	5	5.32637493875896e-20	1.57660698187265e-17
k__Archaea.p__Crenarchaeota.c__Thermoprotei.o__Sulfolobales.f__Sulfolobaceae.g__Saccharolobus.s__Saccharolobus_caldissimus	Group	MCI	1.21837580045275	0.0536842380429517	25	5	9.54278941921087e-16	1.41233283404321e-13
k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae.g__Methanothermobacter.s__Methanothermobacter_thermautotrophicus	Group	MCI	1.38984589379585	0.0875149776548309	25	5	8.3602250370826e-13	8.2487553699215e-11
k__Archaea.p__Crenarchaeota.c__Thermoprotei.o__Thermoproteales.f__Thermoproteaceae.g__Pyrobaculum.s__Pyrobaculum_neutrophilum	Group	SCS	2.4896878542933	0.16386923724051	25	6	1.9003217022261e-12	1.12499044771785e-10
k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Haloferacales.f__Halorubraceae.g__Halorubrum.s__Halorubrum_lacusprofundi	Group	MCI	2.14952413973733	0.14119163584477	25	6	1.83001974606506e-12	1.12499044771785e-10
k__Archaea.p__Crenarchaeota.c__Thermoprotei.o__Sulfolobales.f__Sulfolobaceae.g__Sulfolobus.s__Sulfolobus_sp._E5.1.F	Group	MCI	2.87055209729347	0.19551240412367	25	6	3.56948978995807e-12	1.76094829637932e-10
k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae.g__Methanobrevibacter.s__Methanobrevibacter_millerae	Group	MCI	3.02919484385291	0.217190844710038	25	8	9.13689860142956e-12	3.86360283717593e-10
k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae.g__Methanobrevibacter.s__Methanobrevibacter_sp._YE315	Group	AD	1.73621539953938	0.133788791667779	25	5	3.36753265520511e-11	1.24598708242589e-09
k__Archaea.p__Euryarchaeota.c__Methanomicrobia.o__Methanosarcinales.f__Methanosarcinaceae.g__Methanosarcina.s__Methanosarcina_mazei	Group	SCD	6.75968666019002	0.536751161819098	25	9	5.76474130232315e-11	1.89595936165295e-09
k__Archaea.p__Euryarchaeota.c__Methanomicrobia.o__Methanomicrobiales.f__Methanocorpusculaceae.g__Methanocorpusculum.s__Methanocorpusculum_labreanum	Group	SCD	-2.47099215336655	0.200097576345343	25	14	8.17914576378838e-11	2.20093376916487e-09
k__Archaea.p__Euryarchaeota.c__Methanomicrobia.o__Methanomicrobiales.f__Methanocorpusculaceae.g__Methanocorpusculum.s__Methanocorpusculum_labreanum	Group	AD	-2.47099215336655	0.200097576345343	25	14	8.17914576378838e-11	2.20093376916487e-09
k__Archaea.p__Euryarchaeota.c__Methanomicrobia.o__Methanotrichales.f__Methanotrichaceae.g__Methanothrix.s__Methanothrix_soehngenii	Group	SCS	2.86804484843071	0.254564234786722	25	6	4.10954352409979e-10	1.01368740261128e-08
k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Halobacteriales.f__Halobacteriaceae.g__Haladaptatus.s__Haladaptatus_sp._ZJ1	Group	SCS	3.0474801122553	0.286250951667532	25	6	1.09274823797373e-09	2.48810368030942e-08
k__Archaea.p__Euryarchaeota.c__Methanomicrobia.o__Methanomicrobiales.f__Methanocorpusculaceae.g__Methanocorpusculum.s__Methanocorpusculum_labreanum	Group	MCI	2.08003065170787	0.200097576345343	25	14	1.64258923221929e-09	3.31236260984913e-08
k__Archaea.p__Thaumarchaeota.o__Nitrosopumilales.f__Nitrosopumilaceae.g__Nitrosopumilus.s__Nitrosopumilus_adriaticus	Group	SCS	2.96226609173775	0.285331139661131	25	6	1.67856213336949e-09	3.31236260984913e-08
k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Halobacteriales.f__Haloarculaceae.g__Halorientalis.s__Halorientalis_litorea	Group	MCI	1.35935946588869	0.137407533346237	25	5	3.79059104975584e-09	7.01259344204831e-08
k__Archaea.p__Candidatus_Thermoplasmatota.c__Thermoplasmata.o__Methanomassiliicoccales.f__Candidatus_Methanomethylophilaceae.g__Candidatus_Methanomethylophilus.s__Candidatus_Methanomethylophilus_alvus	Group	AD	-2.97271129619122	0.326113634918083	25	16	1.466136409535e-08	2.55280221895506e-07
k__Archaea.p__Euryarchaeota.c__Thermococci.o__Thermococcales.f__Thermococcaceae.g__Pyrococcus.s__Pyrococcus_yayanosii	Group	AD	2.73676277985728	0.305025088491023	25	5	1.89661237779183e-08	3.11887368792434e-07
k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Haloferacales.f__Haloferacaceae.g__Haloprofundus.s__Haloprofundus_halobius	Group	AD	-5.40251604600029	0.607718612057814	25	14	2.20184013465306e-08	3.43023515714371e-07
k__Archaea.p__Candidatus_Thermoplasmatota.c__Thermoplasmata.o__Methanomassiliicoccales.f__Candidatus_Methanomethylophilaceae.g__Candidatus_Methanomethylophilus.s__Candidatus_Methanomethylophilus_alvus	Group	SCD	-2.49295752884509	0.326113634918083	25	16	2.33583416825744e-07	3.45703456902101e-06
k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Haloferacales.f__Haloferacaceae.g__Haloprofundus.s__Haloprofundus_halobius	Group	SCD	-4.61120540852601	0.607718612057814	25	14	2.61380029492211e-07	3.68421374903306e-06
k__Archaea.p__Thaumarchaeota.c__Nitrososphaeria.o__Nitrososphaerales.f__Nitrososphaeraceae.g__Nitrososphaera.s__Nitrososphaera_viennensis	Group	SCD	-3.21857419059132	0.426546858226256	25	19	2.84199999988871e-07	3.82378181803209e-06
k__Archaea.p__Euryarchaeota.c__Methanomicrobia.o__Methanomicrobiales.f__Methanocorpusculaceae.g__Methanocorpusculum.s__Methanocorpusculum_labreanum	Group	SCS	-1.49973189362953	0.200097576345343	25	14	3.14424829320093e-07	4.04651084690206e-06
k__Archaea.p__Euryarchaeota.c__Methanomicrobia.o__Methanosarcinales.f__Methanosarcinaceae.g__Methanosarcina.s__Methanosarcina_sp._WH1	Group	MCI	-1.94439021662794	0.263286463212544	25	8	3.92009932815448e-07	4.46288231205282e-06
k__Archaea.p__Euryarchaeota.c__Methanomicrobia.o__Methanosarcinales.f__Methanosarcinaceae.g__Methanosarcina.s__Methanosarcina_sp._WH1	Group	SCD	-1.94439021662794	0.263286463212544	25	8	3.9200993281545e-07	4.46288231205282e-06
k__Archaea.p__Euryarchaeota.c__Methanomicrobia.o__Methanosarcinales.f__Methanosarcinaceae.g__Methanosarcina.s__Methanosarcina_sp._WH1	Group	AD	-1.94439021662794	0.263286463212544	25	8	3.9200993281545e-07	4.46288231205282e-06
k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Haloferacales.f__Haloferacaceae.g__Haloprofundus.s__Haloprofundus_halobius	Group	MCI	-4.2523796964984	0.607718612057814	25	14	8.64622418856891e-07	9.14029414220142e-06
k__Archaea.p__Euryarchaeota.c__Methanococci.o__Methanococcales.f__Methanococcaceae.g__Methanothermococcus.s__Methanothermococcus_okinawensis	Group	MCI	1.29842061579786	0.185422831313619	25	6	8.55383485743282e-07	9.14029414220142e-06
k__Archaea.p__Euryarchaeota.c__Thermococci.o__Thermococcales.f__Thermococcaceae.g__Thermococcus.s__Thermococcus_chitonophagus	Group	SCD	-2.46623227845946	0.355743905769145	25	18	9.88500225189157e-07	1.00895195398617e-05
k__Archaea.p__Euryarchaeota.c__Methanomicrobia.o__Methanosarcinales.f__Methanosarcinaceae.g__Methanomethylovorans.s__Methanomethylovorans_hollandica	Group	MCI	-0.851240422136649	0.135062611515118	25	4	3.7498640995461e-06	3.36351446504741e-05
