feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Eukaryota.k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Penicillium.s__Penicillium_oxalicum	Group	AD	5.66451262234549	0.154812868441174	25	6	8.46672052421187e-20	1.11760710919597e-17
k__Eukaryota.k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Aspergillus.s__Aspergillus_luchuensis	Group	MCI	1.17411285051872	0.0346226104553401	25	5	3.78285250701326e-19	1.66445510308584e-17
k__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Fusarium.s__Fusarium_poae	Group	MCI	4.52963396125899	0.131397391669828	25	6	2.73893293899704e-19	1.66445510308584e-17
k__Eukaryota.k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Marasmiaceae.g__Marasmius.s__Marasmius_oreades	Group	MCI	1.22344378304771	0.0523260050376815	25	5	5.37038639407115e-16	1.77222751004348e-14
k__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Sordariaceae.g__Neurospora.s__Neurospora_crassa	Group	SCD	-2.20234952859151	0.125892672450457	25	15	1.36809655470672e-13	3.00981242035478e-12
k__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Sordariaceae.g__Neurospora.s__Neurospora_crassa	Group	AD	-2.20234952859151	0.125892672450457	25	15	1.36809655470672e-13	3.00981242035478e-12
k__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Fusarium.s__Fusarium_pseudograminearum	Group	MCI	1.72357528762796	0.1274995407959	25	5	1.61150927707095e-11	3.03884606533379e-10
k__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Sordariaceae.g__Neurospora.s__Neurospora_crassa	Group	MCI	-1.04980888745753	0.125892672450457	25	15	6.10406057635453e-08	1.0071699950985e-06
k__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Glomerellales.f__Glomerellaceae.g__Colletotrichum.s__Colletotrichum_lupini	Group	SCD	-3.12857751940594	0.404055632913405	25	17	1.92346725360127e-07	2.82108530528187e-06
k__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Fusarium.s__Fusarium_venenatum	Group	SCD	4.19718396020706	0.575302532225103	25	10	4.6964342941453e-07	6.1992932682718e-06
k__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Glomerellales.f__Glomerellaceae.g__Colletotrichum.s__Colletotrichum_lupini	Group	MCI	-2.48670694582446	0.404055632913405	25	17	5.16954389629355e-06	6.20345267555226e-05
k__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Sordariaceae.g__Neurospora.s__Neurospora_crassa	Group	SCS	-0.752910681438971	0.125892672450457	25	15	7.55936260739803e-06	8.31529886813783e-05
k__Eukaryota.k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Mycosphaerellales.f__Mycosphaerellaceae.g__Cercospora.s__Cercospora_beticola	Group	AD	1.15721241919179	0.198169470108078	25	4	1.03183078611035e-05	9.64131657883255e-05
k__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Fusarium.s__Fusarium_oxysporum	Group	MCI	-2.29014696374417	0.395989536413092	25	5	1.16864443379788e-05	9.64131657883255e-05
k__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Fusarium.s__Fusarium_oxysporum	Group	SCD	-2.29014696374417	0.395989536413092	25	5	1.16864443379788e-05	9.64131657883255e-05
k__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Fusarium.s__Fusarium_oxysporum	Group	AD	-2.29014696374417	0.395989536413092	25	5	1.16864443379788e-05	9.64131657883255e-05
k__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Fusarium.s__Fusarium_oxysporum	Group	SCS	-2.09014696374417	0.395989536413092	25	5	3.6373701708675e-05	0.000267604376890997
k__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Magnaporthales.f__Pyriculariaceae.g__Pyricularia.s__Pyricularia_oryzae	Group	AD	1.9973940427978	0.378518964953459	25	5	3.64915059396814e-05	0.000267604376890997
k__Eukaryota.k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Aspergillus.s__Aspergillus_nidulans	Group	MCI	-2.78934527537125	0.551269133710299	25	9	5.99039940903207e-05	0.000359423964541924
k__Eukaryota.k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Aspergillus.s__Aspergillus_nidulans	Group	SCD	-2.78934527537125	0.551269133710299	25	9	5.99039940903202e-05	0.000359423964541924
k__Eukaryota.k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Aspergillus.s__Aspergillus_nidulans	Group	AD	-2.78934527537125	0.551269133710299	25	9	5.99039940903202e-05	0.000359423964541924
k__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Ophiocordycipitaceae.g__Purpureocillium.s__Purpureocillium_takamizusanense	Group	SCS	1.8132918094523	0.357731138897711	25	4	5.86794146437762e-05	0.000359423964541924
k__Eukaryota.k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Trichomonascaceae.g__Sugiyamaella.s__Sugiyamaella_lignohabitans	Group	SCS	2.00402713086711	0.409027917179767	25	6	8.66272134781883e-05	0.000497164877353081
k__Eukaryota.k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Saccharomycetaceae.g__Tetrapisispora.s__Tetrapisispora_blattae	Group	MCI	-3.36851347313104	0.71330249730328	25	10	0.000130459764204528	0.000688827554999909
k__Eukaryota.k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Saccharomycetaceae.g__Tetrapisispora.s__Tetrapisispora_blattae	Group	SCS	-3.36851347313105	0.71330249730328	25	10	0.000130459764204528	0.000688827554999909
k__Eukaryota.k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Saccharomycetaceae.g__Tetrapisispora.s__Tetrapisispora_blattae	Group	AD	-3.16851347313104	0.71330249730328	25	10	0.000250419730610489	0.00127136170925325
k__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Glomerellales.f__Glomerellaceae.g__Colletotrichum.s__Colletotrichum_lupini	Group	SCS	-1.67980261902466	0.404055632913405	25	17	0.000486929963880129	0.00238054649008063
k__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Clavicipitaceae.g__Ustilaginoidea.s__Ustilaginoidea_virens	Group	MCI	1.25281026881251	0.314741297222869	25	6	0.000736436119082863	0.00347177027567636
k__Eukaryota.k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Mycosphaerellales.f__Mycosphaerellaceae.g__Zymoseptoria.s__Zymoseptoria_tritici	Group	SCD	-2.7547355955309	0.695703937951927	25	20	0.000773142723659117	0.00351913239734495
k__Eukaryota.k__Fungi.p__Basidiomycota.c__Ustilaginomycetes.o__Ustilaginales.f__Ustilaginaceae.g__Sporisorium.s__Sporisorium_graminicola	Group	MCI	0.705816892946367	0.186974538175517	25	3	0.00119011447324587	0.00523650368228185
k__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Magnaporthales.f__Pyriculariaceae.g__Pyricularia.s__Pyricularia_grisea	Group	SCS	0.727795543340936	0.194745463134403	25	3	0.00129967786718698	0.00553411220866714
k__Eukaryota.k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__Tremellales.f__Cryptococcaceae.g__Cryptococcus.s__Cryptococcus_neoformans	Group	MCI	0.831067170590666	0.224993699642685	25	3	0.00143804491890317	0.00593193529047556
k__Eukaryota.k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Saccharomycetaceae.g__Saccharomyces.s__Saccharomyces_cerevisiae	Group	SCS	0.894918776483702	0.247895853015793	25	3	0.0017470337042334	0.00698813481693358
k__Eukaryota.k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Saccharomycetaceae.g__Eremothecium.s__Eremothecium_gossypii	Group	SCS	0.937781505567316	0.26712187041403	25	3	0.00219999453677088	0.00854115526040459
k__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Fusarium.s__Fusarium_venenatum	Group	SCS	1.90144829940015	0.575302532225103	25	10	0.00353453594928279	0.0133302498658665
k__Eukaryota.k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Saccharomycetaceae.g__Saccharomyces.s__Saccharomyces_paradoxus	Group	SCS	1.02925788845013	0.333303099621624	25	5	0.00579981921565563	0.0200096484182943
k__Eukaryota.k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Cantharellales.f__Ceratobasidiaceae.g__Rhizoctonia.s__Rhizoctonia_solani	Group	MCI	-1.70525296859062	0.553725414515861	25	5	0.00591194157813239	0.0200096484182943
k__Eukaryota.k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Cantharellales.f__Ceratobasidiaceae.g__Rhizoctonia.s__Rhizoctonia_solani	Group	AD	-1.70525296859062	0.553725414515861	25	5	0.00591194157813235	0.0200096484182943
k__Eukaryota.k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Cantharellales.f__Ceratobasidiaceae.g__Rhizoctonia.s__Rhizoctonia_solani	Group	SCS	-1.70525296859062	0.553725414515861	25	5	0.00591194157813235	0.0200096484182943
k__Eukaryota.k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Debaryomycetaceae.g__Candida.s__Candida_albicans	Group	SCD	-0.980766970688988	0.340196954200875	25	5	0.00919746281106178	0.0289063116919085
k__Eukaryota.k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Debaryomycetaceae.g__Candida.s__Candida_albicans	Group	AD	-0.980766970688988	0.340196954200875	25	5	0.00919746281106178	0.0289063116919085
k__Eukaryota.k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Debaryomycetaceae.g__Candida.s__Candida_albicans	Group	SCS	-0.980766970688988	0.340196954200875	25	5	0.00919746281106178	0.0289063116919085
k__Eukaryota.k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Mycosphaerellales.f__Mycosphaerellaceae.g__Zymoseptoria.s__Zymoseptoria_tritici	Group	SCS	-1.98351782305266	0.695703937951927	25	20	0.00987295475511002	0.0303076750621982
k__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Chaetomiaceae.g__Thermothielavioides.s__Thermothielavioides_terrestris	Group	SCS	1.09392910480634	0.423309143404194	25	5	0.0177205487859651	0.0531616463578953
k__Eukaryota.k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Aspergillus.s__Aspergillus_puulaauensis	Group	SCS	0.722286286792178	0.338421068975725	25	5	0.0453852385611079	0.133130033112583
k__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Fusarium.s__Fusarium_fujikuroi	Group	MCI	-1.23858892405431	0.606371837325191	25	6	0.054494846069278	0.149860826690515
k__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Fusarium.s__Fusarium_fujikuroi	Group	SCD	-1.23858892405431	0.606371837325191	25	6	0.0544948460692782	0.149860826690515
k__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Fusarium.s__Fusarium_fujikuroi	Group	AD	-1.23858892405431	0.606371837325191	25	6	0.0544948460692782	0.149860826690515
k__Eukaryota.k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Mycosphaerellales.f__Mycosphaerellaceae.g__Fulvia.s__Fulvia_fulva	Group	MCI	0.564436321543999	0.286646927741609	25	4	0.0629538706354066	0.169590018854565
k__Eukaryota.k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Cantharellales.f__Ceratobasidiaceae.g__Rhizoctonia.s__Rhizoctonia_solani	Group	SCD	-1.03069399568783	0.553725414515861	25	5	0.0774539937094231	0.204478543392877
k__Eukaryota.k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Mycosphaerellales.f__Mycosphaerellaceae.g__Zymoseptoria.s__Zymoseptoria_tritici	Group	MCI	-1.2430791510397	0.695703937951927	25	20	0.0891389413635795	0.2307125541175
k__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Chaetomiaceae.g__Thermothielavioides.s__Thermothielavioides_terrestris	Group	MCI	0.721149746677097	0.423309143404193	25	5	0.103945347684824	0.263861267199938
k__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Clavicipitaceae.g__Ustilaginoidea.s__Ustilaginoidea_virens	Group	SCS	0.51674956961626	0.314741297222869	25	6	0.116258398861396	0.289549219805741
k__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Glomerellales.f__Glomerellaceae.g__Colletotrichum.s__Colletotrichum_higginsianum	Group	MCI	0.815518629234333	0.534104715659458	25	8	0.142449057318448	0.344732983481312
k__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Fusarium.s__Fusarium_poae	Group	SCS	0.2	0.131397391669828	25	6	0.143638743117213	0.344732983481312
k__Eukaryota.k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Aspergillus.s__Aspergillus_nidulans	Group	SCS	-0.803054404750485	0.551269133710299	25	9	0.160710409159403	0.372171473842827
k__Eukaryota.k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Pichiaceae.g__Ogataea.s__Ogataea_parapolymorpha	Group	AD	0.659379860079168	0.449981627639929	25	3	0.158370935927946	0.372171473842827
k__Eukaryota.k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Saccharomycetaceae.g__Torulaspora.s__Torulaspora_globosa	Group	SCD	0.9539680160718	0.662498367864419	25	6	0.1653506180987	0.376315199810835
k__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Ophiocordycipitaceae.g__Drechmeria.s__Drechmeria_coniospora	Group	SCD	0.476189721739912	0.344194448536744	25	3	0.181763600975122	0.406657547944341
k__Eukaryota.k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Debaryomycetaceae.g__Candida.s__Candida_albicans	Group	MCI	-0.455898677996194	0.340196954200875	25	5	0.195239411417693	0.429526705118925
