feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Crassvirales.f__Intestiviridae.g__Jahgtovirus.s__Jahgtovirus_gastrointestinalis	Group	SCS	1.05829785937973	0.0111738650413154	23	5	9.61619124269589e-26	1.15394294912351e-23
k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Crassvirales.f__Intestiviridae.g__Jahgtovirus.s__Jahgtovirus_intestinihominis	Group	SCS	1.04241910185109	0.011458645794553	23	5	1.98288241017704e-25	1.18972944610622e-23
k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Crassvirales.f__Suoliviridae.g__Aurodevirus.s__Aurodevirus_intestinalis	Group	MCI	1.0376382281703	0.0161809300532459	23	4	1.05376804974413e-22	4.2150721989765e-21
k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Crassvirales.f__Suoliviridae.g__Buchavirus.s__Buchavirus_coli	Group	SCS	10.0809905035654	0.378783774909937	23	8	6.61493772909823e-16	1.98448131872947e-14
k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Crassvirales.f__Suoliviridae.g__Canhaevirus.s__Canhaevirus_hiberniae	Group	SCD	3.65724615344704	0.156541598152206	23	6	6.48336448369475e-15	1.55600747608674e-13
k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Crassvirales.f__Intestiviridae.g__Jahgtovirus.s__Jahgtovirus_secundus	Group	SCS	1.28075462929829	0.0557295102690104	23	5	8.63821824482198e-15	1.7276436489644e-13
k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Crassvirales.f__Suoliviridae.g__Buchavirus.s__Buchavirus_splanchnicus	Group	SCS	7.04322034742883	0.333682628239096	23	10	3.79112281629039e-14	6.49906768506923e-13
k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Crassvirales.f__Intestiviridae.g__Jahgtovirus.s__Jahgtovirus_intestinalis	Group	SCS	1.36954823413746	0.0705931949548075	23	5	1.62773499139868e-13	2.44160248709802e-12
k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Crassvirales.f__Suoliviridae.g__Cohcovirus.s__Cohcovirus_splanchnicus	Group	SCD	1.44088691071028	0.0819568447052016	23	5	8.80480074272911e-13	1.17397343236388e-11
k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Crassvirales.f__Suoliviridae.g__Chuhaivirus.s__Chuhaivirus_simiae	Group	SCD	1.47830862489349	0.0866207551846097	23	5	1.46034718457903e-12	1.75241662149483e-11
