"feature","coef.SCS","qval.SCS","coef.SCD","qval.SCD","coef.MCI","qval.MCI","coef.AD","qval.AD"
"k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanococcaceae|g__Methanococcus|s__Methanococcus_vannielii",0,1,-2.53372581020338e-17,1,1.16367918469135,1.57660698187265e-17,-7.60117743061015e-17,1
"k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Saccharolobus|s__Saccharolobus_caldissimus",1.42627609660928e-17,1,1.55528008268428e-16,1,1.21837580045275,1.41233283404321e-13,2.23337353442667e-17,1
"k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanothermobacter|s__Methanothermobacter_thermautotrophicus",0,1,-9.09842473852884e-17,1,1.38984589379585,8.2487553699215e-11,-5.79589779084024e-17,1
"k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Pyrobaculum|s__Pyrobaculum_neutrophilum",2.4896878542933,1.12499044771785e-10,-0.2,0.469778190531142,-0.200000000000002,0.469778190531142,-0.2,0.469778190531142
"k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum_lacusprofundi",-0.2,0.363684300480606,-0.2,0.363684300480606,2.14952413973733,1.12499044771785e-10,-0.2,0.363684300480606
"k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus_sp._E5.1.F",0.2,0.5893081082337,-7.76014769476171e-17,1,2.87055209729347,1.76094829637932e-10,-6.08094194448812e-17,1
"k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_millerae",-5.26625020286505e-17,1,-1.43329176164975e-16,1,3.02919484385291,3.86360283717593e-10,0.749598721127456,0.00794731643307641
"k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_sp._YE315",4.98919443512122e-31,1,0,1,-2.27595720048157e-15,1,1.73621539953938,1.24598708242589e-09
"k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanosarcina|s__Methanosarcina_mazei",2.43750025055664,0.0009192254432187,6.75968666019002,1.89595936165295e-09,4.44089209850063e-16,1,7.29713033338574e-16,1
"k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanocorpusculaceae|g__Methanocorpusculum|s__Methanocorpusculum_labreanum",-1.49973189362953,4.04651084690206e-06,-2.47099215336655,2.20093376916487e-09,2.08003065170787,3.31236260984913e-08,-2.47099215336655,2.20093376916487e-09
"k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanotrichales|f__Methanotrichaceae|g__Methanothrix|s__Methanothrix_soehngenii",2.86804484843071,1.01368740261128e-08,-0.2,0.758990543636447,-0.200000000000003,0.758990543636447,-0.2,0.758990543636447
"k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haladaptatus|s__Haladaptatus_sp._ZJ1",3.0474801122553,2.48810368030942e-08,-0.199999999999999,0.805892919521913,-0.200000000000002,0.805892919521913,-0.2,0.805892919521913
"k__Archaea|p__Thaumarchaeota|o__Nitrosopumilales|f__Nitrosopumilaceae|g__Nitrosopumilus|s__Nitrosopumilus_adriaticus",2.96226609173775,3.31236260984913e-08,-0.199999999999999,0.805892919521913,-0.200000000000002,0.805892919521913,-0.2,0.805892919521913
"k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halorientalis|s__Halorientalis_litorea",7.0216669371534e-17,1,2.08842220573183e-16,1,1.35935946588869,7.01259344204831e-08,1.26322463853089e-16,1
"k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Candidatus_Methanomethylophilaceae|g__Candidatus_Methanomethylophilus|s__Candidatus_Methanomethylophilus_alvus",-1.40544932203758,0.00144217285609414,-2.49295752884509,3.45703456902101e-06,-0.643142409610048,0.144720529382115,-2.97271129619122,2.55280221895506e-07
"k__Archaea|p__Euryarchaeota|c__Thermococci|o__Thermococcales|f__Thermococcaceae|g__Pyrococcus|s__Pyrococcus_yayanosii",0,1,-2.2932668186396e-16,1,-4.60924607142913e-15,1,2.73676277985728,3.11887368792434e-07
"k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloprofundus|s__Haloprofundus_halobius",-1.74988244868646,0.0242816556891438,-4.61120540852601,3.68421374903306e-06,-4.2523796964984,9.14029414220142e-06,-5.40251604600029,3.43023515714371e-07
"k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae|g__Nitrososphaera|s__Nitrososphaera_viennensis",-1.63263466375005,0.00400398594891542,-3.21857419059132,3.82378181803209e-06,-1.09502979148635,0.0473178444996936,-0.33249520981064,0.758990543636447
"k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanosarcina|s__Methanosarcina_sp._WH1",-1.22137328074084,0.000756865088778511,-1.94439021662794,4.46288231205282e-06,-1.94439021662794,4.46288231205282e-06,-1.94439021662794,4.46288231205282e-06
"k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanococcaceae|g__Methanothermococcus|s__Methanothermococcus_okinawensis",-0.210995693432631,0.516277906344692,-0.210995693432631,0.516277906344692,1.29842061579786,9.14029414220142e-06,-0.210995693432631,0.516277906344692
